cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,3695,Europe,欧洲,Luxembourg,卢森堡,241,3369,85,961004,Luxembourg,卢森堡,卢森堡,0,1587816790650,0.023,0.0652
暂无,暂无,954,Africa,非洲,Guinea,几内亚,191,757,6,0,Guinea,几内亚,几内亚,0,1587816790650,0.0063,0.2002
暂无,暂无,214,Africa,非洲,The Republic of Equatorial Guinea,赤道几内亚,7,206,1,0,The Republic of Equatorial Guinea,赤道几内亚,赤道几内亚,0,1587816790650,0.0047,0.0327
暂无,暂无,1360,Europe,欧洲,Slovakia,斯洛伐克,355,988,17,963007,Slovakia,斯洛伐克,斯洛伐克,0,1587816790650,0.0125,0.261
暂无,暂无,3607,South America,南美洲,Argentina,阿根廷,976,2455,176,973001,Argentina,阿根廷,阿根廷,0,1587816790650,0.0488,0.2706
暂无,暂无,36,Asia,亚洲,Mongolia,蒙古,6,30,0,0,Mongolia,蒙古,蒙古,0,1587816790650,0.0,0.1667
暂无,暂无,7294,Asia,亚洲,Philippines,菲律宾,792,6008,494,952008,Philippines,菲律宾,菲律宾,0,1587816790650,0.0677,0.1086
暂无,暂无,13,North America,北美洲,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,0,13,0,974012,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,0,1587816790650,0.0,0.0
暂无,暂无,99,North America,北美洲,暂无,百慕大,0,94,5,0,暂无,百慕大,百慕大,0,1587816790650,0.0505,0.0
暂无,暂无,922,Africa,非洲,Tunisia,突尼斯,194,690,38,981006,Tunisia,突尼斯,突尼斯,0,1587816790650,0.0412,0.2104
暂无,暂无,1905,Asia,亚洲,Oman,阿曼,329,1566,10,955013,Oman,阿曼,阿曼,0,1587816790650,0.0052,0.1727
暂无,暂无,10,Africa,非洲,Gambia,冈比亚,2,7,1,982005,Gambia,冈比亚,冈比亚,0,1587816790650,0.1,0.2
暂无,暂无,319,Europe,欧洲,暂无,黑山,123,190,6,965018,暂无,黑山,黑山,0,1587816790650,0.0188,0.3856
暂无,暂无,82,Europe,欧洲,Liechtenstein,列支敦士登,0,81,1,963005,Liechtenstein,列支敦士登,列支敦士登,0,1587816790650,0.0122,0.0
暂无,暂无,445,Europe,欧洲,Malta,马耳他,44,398,3,965019,Malta,马耳他,马耳他,0,1587816790650,0.0067,0.0989
