cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,12564,Asia,亚洲,Qatar,卡塔尔,1243,11311,10,955015,Qatar,卡塔尔,卡塔尔,0,1588165974800,0.0008,0.0989
暂无,暂无,12218,Europe,欧洲,Poland,波兰,2655,8967,596,963006,Poland,波兰,波兰,0,1588165974800,0.0488,0.2173
暂无,暂无,2869,Asia,亚洲,Bahrain,巴林,1370,1491,8,955004,Bahrain,巴林,巴林,0,1588165726287,0.0028,0.4775
暂无,暂无,20359,Europe,欧洲,Sweden,瑞典,1005,16882,2472,962005,Sweden,瑞典,瑞典,0,1588165726287,0.1214,0.0494
暂无,暂无,21402,Asia,亚洲,Saudi Arabia,沙特阿拉伯,2953,18292,157,955016,Saudi Arabia,沙特阿拉伯,沙特阿拉伯,0,1588165726287,0.0073,0.138
暂无,暂无,31787,Asia,亚洲,India,印度,7796,22983,1008,953003,India,印度,印度,0,1588164672531,0.0317,0.2453
暂无,暂无,3649,Africa,非洲,Algeria,阿尔及利亚,1651,1561,437,981001,Algeria,阿尔及利亚,阿尔及利亚,0,1588164485041,0.1198,0.4525
暂无,暂无,3740,Asia,亚洲,Kuwait,科威特,1389,2327,24,955011,Kuwait,科威特,科威特,0,1588164485041,0.0064,0.3714
暂无,暂无,3729,Europe,欧洲,Luxembourg,卢森堡,3123,518,88,961004,Luxembourg,卢森堡,卢森堡,0,1588164485041,0.0236,0.8375
暂无,暂无,3481,Europe,欧洲,Moldova,摩尔多瓦,925,2453,103,964005,Moldova,摩尔多瓦,摩尔多瓦,0,1588164485041,0.0296,0.2657
暂无,暂无,38802,Europe,欧洲,Netherlands,荷兰,291,33800,4711,961006,Netherlands,荷兰,荷兰,0,1588164485041,0.1214,0.0075
暂无,暂无,84369,Asia,亚洲,China,中国,78766,960,4643,951001,China,中国,中国,0,1588164485041,0.055,0.9336
暂无,暂无,882,Africa,非洲,Senegal,塞内加尔,315,558,9,982014,Senegal,塞内加尔,塞内加尔,0,1588164239210,0.0102,0.3571
暂无,疑似1例,1037,Asia,亚洲,China,中国,830,203,4,810000,Hong Kong,香港,香港,47,1588163439787,0.0039,0.8004
暂无,确诊病例中含9例境外输入病例,45,Asia,亚洲,China,中国,34,11,0,820000,Macau,澳门,澳门,9,1588163439787,0.0,0.7556
暂无,暂无,19877,Europe,欧洲,Ireland,爱尔兰,9233,9485,1159,961003,Ireland,爱尔兰,爱尔兰,0,1588162459572,0.0583,0.4645
暂无,暂无,429,Asia,亚洲,China,中国,311,112,6,710000,Taiwan,台湾,台湾,343,1588162459572,0.014,0.7249
暂无,暂无,73166,South America,南美洲,Brazil,巴西,32544,35539,5083,973003,Brazil,巴西,巴西,0,1588161470856,0.0695,0.4448
暂无,暂无,13181,Europe,欧洲,Belarus,白俄罗斯,2072,11025,84,964001,Belarus,白俄罗斯,白俄罗斯,0,1588160656266,0.0064,0.1572
暂无,暂无,950,South America,南美洲,Bolivia,玻利维亚,50,820,80,973002,Bolivia,玻利维亚,玻利维亚,0,1588160656266,0.0842,0.0526
暂无,暂无,721,Asia,亚洲,Lebanon,黎巴嫩,150,547,24,955012,Lebanon,黎巴嫩,黎巴嫩,0,1588160656266,0.0333,0.208
暂无,暂无,480,Africa,非洲,Tanzania,坦桑尼亚,167,297,16,985009,Tanzania,坦桑尼亚,坦桑尼亚,0,1588160656266,0.0333,0.3479
暂无,暂无,150,Asia,亚洲,Burma,缅甸,16,129,5,952001,Burma,缅甸,缅甸,0,1588160656266,0.0333,0.1067
暂无,暂无,256,Asia,亚洲,Maldives,马尔代夫,17,239,0,953004,Maldives,马尔代夫,马尔代夫,0,1588160656266,0.0,0.0664
暂无,暂无,18,Oceania,大洋洲,Fiji,斐济,0,18,0,990002,Fiji,斐济,斐济,0,1588160282890,0.0,0.0
暂无,暂无,1344,Europe,欧洲,Lithuania,立陶宛,536,764,44,964004,Lithuania,立陶宛,立陶宛,0,1588160282890,0.0327,0.3988
暂无,暂无,141,Africa,非洲,Liberia,利比里亚,45,80,16,982009,Liberia,利比里亚,利比里亚,0,1588160282890,0.1135,0.3191
暂无,暂无,500,North America,北美洲,Guatemala,危地马拉,0,485,15,972004,Guatemala,危地马拉,危地马拉,0,1588160282890,0.03,0.0
暂无,暂无,14365,South America,南美洲,Chile,智利,7710,6448,207,973004,Chile,智利,智利,0,1588160282890,0.0144,0.5367
暂无,暂无,16,North America,北美洲,暂无,多米尼克,0,16,0,974005,暂无,多米尼克,多米尼克,0,1588160282890,0.0,0.0
暂无,暂无,6,South America,南美洲,暂无,荷兰加勒比地区,0,6,0,0,暂无,荷兰加勒比地区,荷兰加勒比地区,0,1588160282890,0.0,0.0
暂无,暂无,7619,Europe,欧洲,Norway,挪威,0,7413,206,962004,Norway,挪威,挪威,0,1588160282890,0.027,0.0
暂无,暂无,16,North America,北美洲,暂无,库拉索岛,0,15,1,0,暂无,库拉索岛,库拉索岛,0,1588160282890,0.0625,0.0
暂无,暂无,99,Africa,非洲,Togo,多哥,62,31,6,982016,Togo,多哥,多哥,0,1588160282890,0.0606,0.6263
暂无,暂无,161145,Europe,欧洲,United Kingdom,英国,344,139123,21678,961007,United Kingdom,英国,英国,0,1588160282890,0.1345,0.0021
暂无,暂无,11,North America,北美洲,暂无,蒙特塞拉特,0,10,1,0,暂无,蒙特塞拉特,蒙特塞拉特,0,1588160282890,0.0909,0.0
暂无,暂无,5945,Asia,亚洲,Malaysia,马来西亚,4087,1758,100,952007,Malaysia,马来西亚,马来西亚,0,1588160282890,0.0168,0.6875
暂无,暂无,334,Africa,非洲,Mauritius,毛里求斯,302,23,9,984014,Mauritius,毛里求斯,毛里求斯,0,1588160282890,0.0269,0.9042
暂无,暂无,424,Africa,非洲,Mali,马里,122,278,24,982010,Mali,马里,马里,0,1588160282890,0.0566,0.2877
暂无,暂无,106,Africa,非洲,暂无,佛得角,1,104,1,982017,暂无,佛得角,佛得角,0,1588160282890,0.0094,0.0094
暂无,暂无,175,North America,北美洲,Martinique,马提尼克,0,161,14,0,Martinique,马提尼克,马提尼克,0,1588160282890,0.08,0.0
暂无,暂无,24258,South America,南美洲,Ecuador,厄瓜多尔,1557,21830,871,973006,Ecuador,厄瓜多尔,厄瓜多尔,0,1588160282890,0.0359,0.0642
暂无,暂无,201505,Europe,欧洲,Italy,意大利,68941,105205,27359,965008,Italy,意大利,意大利,0,1588160282890,0.1358,0.3421
暂无,暂无,122,Asia,亚洲,Kampuchea (Cambodia ),柬埔寨,50,72,0,952003,Kampuchea (Cambodia ),柬埔寨,柬埔寨,0,1588160282890,0.0,0.4098
暂无,暂无,207,Africa,非洲,暂无,刚果（布）,19,180,8,0,暂无,刚果（布）,刚果（布）,0,1588160282890,0.0386,0.0918
暂无,暂无,228,South America,南美洲,Paraguay,巴拉圭,78,141,9,973009,Paraguay,巴拉圭,巴拉圭,0,1588160282890,0.0395,0.3421
暂无,暂无,61,Africa,非洲,Libya,利比亚,18,41,2,981003,Libya,利比亚,利比亚,0,1588160282890,0.0328,0.2951
暂无,暂无,418,Africa,非洲,Reunion,留尼旺,0,418,0,0,Reunion,留尼旺,留尼旺,0,1588160282890,0.0,0.0
暂无,暂无,8851,Europe,欧洲,Denmark,丹麦,6121,2296,434,962001,Denmark,丹麦,丹麦,0,1588160282890,0.049,0.6916
暂无,暂无,8,Oceania,大洋洲,Papua New Guinea,巴布亚新几内亚,0,8,0,990009,Papua New Guinea,巴布亚新几内亚,巴布亚新几内亚,0,1588160282890,0.0,0.0
暂无,暂无,238,Africa,非洲,Gabon,加蓬,53,182,3,983004,Gabon,加蓬,加蓬,0,1588160282890,0.0126,0.2227
暂无,暂无,5949,South America,南美洲,Colombia,哥伦比亚,1210,4470,269,973005,Colombia,哥伦比亚,哥伦比亚,0,1588160282890,0.0452,0.2034
暂无,暂无,1795,Europe,欧洲,Iceland,冰岛,1636,149,10,962003,Iceland,冰岛,冰岛,0,1588160282890,0.0056,0.9114
暂无,暂无,9771,Asia,亚洲,Indonesia,印度尼西亚,1391,7596,784,952005,Indonesia,印度尼西亚,印度尼西亚,0,1588160282890,0.0802,0.1424
暂无,暂无,126,Africa,非洲,Ethiopia,埃塞俄比亚,50,73,3,985004,Ethiopia,埃塞俄比亚,埃塞俄比亚,0,1588160282890,0.0238,0.3968
暂无,暂无,8,Africa,非洲,Sao Tome and Principe,圣多美和普林西比,0,8,0,983007,Sao Tome and Principe,圣多美和普林西比,圣多美和普林西比,0,1588160282890,0.0,0.0
暂无,暂无,497,Asia,亚洲,Palestine,巴勒斯坦,77,417,3,955014,Palestine,巴勒斯坦,巴勒斯坦,0,1588160282890,0.006,0.1549
暂无,暂无,79,North America,北美洲,Barbados,巴巴多斯,0,73,6,974003,Barbados,巴巴多斯,巴巴多斯,0,1588160282890,0.0759,0.0
暂无,暂无,7,Africa,非洲,The Islamic Republic of Mauritania,毛里塔尼亚,2,4,1,982012,The Islamic Republic of Mauritania,毛里塔尼亚,毛里塔尼亚,0,1588160282890,0.1429,0.2857
暂无,暂无,1938,Asia,亚洲,Afghanistan,阿富汗,231,1647,60,955001,Afghanistan,阿富汗,阿富汗,0,1588160282890,0.031,0.1192
暂无,暂无,13,South America,南美洲,暂无,福克兰群岛,0,13,0,0,暂无,福克兰群岛,福克兰群岛,0,1588160282890,0.0,0.0
暂无,暂无,114653,Asia,亚洲,Turkey,土耳其,38809,72852,2992,955018,Turkey,土耳其,土耳其,0,1588160282890,0.0261,0.3385
暂无,暂无,281,Europe,欧洲,Bailiwick of Jersey,泽西岛,0,262,19,0,Bailiwick of Jersey,泽西岛,泽西岛,0,1588160282890,0.0676,0.0
暂无,暂无,1408,Europe,欧洲,Slovenia,斯洛文尼亚,223,1099,86,965014,Slovenia,斯洛文尼亚,斯洛文尼亚,0,1588160282890,0.0611,0.1584
暂无,暂无,1387,Europe,欧洲,Bulgaria,保加利亚,197,1132,58,965004,Bulgaria,保加利亚,保加利亚,0,1588160282890,0.0418,0.142
暂无,暂无,12,North America,北美洲,暂无,特克斯和凯科斯群岛,0,11,1,0,暂无,特克斯和凯科斯群岛,特克斯和凯科斯群岛,0,1588160282890,0.0833,0.0
暂无,暂无,748,Europe,欧洲,Andorra,安道尔,385,323,40,965002,Andorra,安道尔,安道尔,0,1588160282890,0.0535,0.5147
暂无,暂无,65,Africa,非洲,Swaziland,斯威士兰,10,54,1,984010,Swaziland,斯威士兰,斯威士兰,0,1588160282890,0.0154,0.1538
暂无,暂无,99399,Europe,欧洲,Russia,俄罗斯,10286,88141,972,964006,Russia,俄罗斯,俄罗斯,0,1588160282890,0.0098,0.1035
暂无,暂无,52,Asia,亚洲,Nepal,尼泊尔,12,40,0,953005,Nepal,尼泊尔,尼泊尔,0,1588160282890,0.0,0.2308
暂无,暂无,16752,North America,北美洲,Mexico,墨西哥,2627,12556,1569,971003,Mexico,墨西哥,墨西哥,0,1588160282890,0.0937,0.1568
暂无,暂无,1939,Asia,亚洲,Uzbekistan,乌兹别克斯坦,992,939,8,954005,Uzbekistan,乌兹别克斯坦,乌兹别克斯坦,0,1588160282890,0.0041,0.5116
暂无,暂无,80,North America,北美洲,Bahamas,巴哈马,0,69,11,974002,Bahamas,巴哈马,巴哈马,0,1588160282890,0.1375,0.0
暂无,暂无,138,Asia,亚洲,Brunei,文莱,115,22,1,952002,Brunei,文莱,文莱,0,1588160282890,0.0072,0.8333
暂无,暂无,6,Africa,非洲,暂无,南苏丹,0,6,0,981007,暂无,南苏丹,南苏丹,0,1588160282890,0.0,0.0
暂无,暂无,4252,Africa,非洲,Morocco,摩洛哥,778,3309,165,981004,Morocco,摩洛哥,摩洛哥,0,1588160282890,0.0388,0.183
暂无,暂无,2534,Europe,欧洲,Greece,希腊,577,1821,136,965007,Greece,希腊,希腊,0,1588160282890,0.0537,0.2277
暂无,暂无,15286,Europe,欧洲,Austria,奥地利,12362,2355,569,963001,Austria,奥地利,奥地利,0,1588160282890,0.0372,0.8087
暂无,暂无,141,Europe,欧洲,Gibraltar,直布罗陀,0,140,1,0,Gibraltar,直布罗陀,直布罗陀,0,1588160282890,0.0071,0.0
暂无,暂无,100,North America,北美洲,暂无,阿鲁巴,0,98,2,0,暂无,阿鲁巴,阿鲁巴,0,1588160282890,0.02,0.0
暂无,暂无,247,Europe,欧洲,Guernsey,根西岛,0,234,13,0,Guernsey,根西岛,根西岛,0,1588160282890,0.0526,0.0
暂无,暂无,58,Oceania,大洋洲,French Polynesia,法属波利尼西亚,0,58,0,0,French Polynesia,法属波利尼西亚,法属波利尼西亚,0,1588160282890,0.0,0.0
暂无,暂无,619,Asia,亚洲,SriLanka,斯里兰卡,134,478,7,953007,SriLanka,斯里兰卡,斯里兰卡,0,1588160282890,0.0113,0.2165
暂无,暂无,538,Europe,欧洲,San Marino,圣马力诺,2,495,41,965012,San Marino,圣马力诺,圣马力诺,0,1588160282890,0.0762,0.0037
暂无,暂无,325,South America,南美洲,Venezuela,委内瑞拉,0,315,10,0,Venezuela,委内瑞拉,委内瑞拉,0,1588160282890,0.0308,0.0
暂无,暂无,93657,Asia,亚洲,Iran,伊朗,73791,13909,5957,955007,Iran,伊朗,伊朗,0,1588160282890,0.0636,0.7879
暂无,暂无,111,South America,南美洲,French Guiana,法属圭亚那,0,110,1,0,French Guiana,法属圭亚那,法属圭亚那,0,1588160282890,0.009,0.0
暂无,暂无,6,North America,北美洲,暂无,圣巴泰勒米岛,0,6,0,0,暂无,圣巴泰勒米岛,圣巴泰勒米岛,0,1588160282890,0.0,0.0
暂无,暂无,305,North America,北美洲,Jamaica,牙买加,0,298,7,974009,Jamaica,牙买加,牙买加,0,1588160282890,0.023,0.0
暂无,暂无,4996,Africa,非洲,South Africa,南非,1473,3430,93,984011,South Africa,南非,南非,0,1588160282890,0.0186,0.2948
暂无,暂无,2047,Europe,欧洲,Croatia,克罗地亚,1232,752,63,965005,Croatia,克罗地亚,克罗地亚,0,1588160282890,0.0308,0.6019
暂无,暂无,74,North America,北美洲,暂无,荷属圣马丁,0,61,13,0,暂无,荷属圣马丁,荷属圣马丁,0,1588160282890,0.1757,0.0
