cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,11921,Asia,亚洲,Qatar,卡塔尔,1134,10777,10,955015,Qatar,卡塔尔,卡塔尔,0,1588079376688,0.0008,0.0951
暂无,暂无,11902,Europe,欧洲,Poland,波兰,2466,8874,562,963006,Poland,波兰,波兰,0,1588079376688,0.0472,0.2072
暂无,暂无,11380,Asia,亚洲,United Arab Emirates,阿联酋,2181,9110,89,955019,United Arab Emirates,阿联酋,阿联酋,0,1588079376688,0.0078,0.1917
暂无,暂无,20077,Asia,亚洲,Saudi Arabia,沙特阿拉伯,2774,17151,152,955016,Saudi Arabia,沙特阿拉伯,沙特阿拉伯,0,1588079376688,0.0076,0.1382
暂无,暂无,596,Asia,亚洲,SriLanka,斯里兰卡,134,455,7,953007,SriLanka,斯里兰卡,斯里兰卡,0,1588079376688,0.0117,0.2248
暂无,暂无,511,Asia,亚洲,Georgia,格鲁吉亚,156,349,6,955006,Georgia,格鲁吉亚,格鲁吉亚,0,1588079376688,0.0117,0.3053
暂无,暂无,11616,Europe,欧洲,Romania,罗马尼亚,3404,7562,650,965011,Romania,罗马尼亚,罗马尼亚,0,1588079376688,0.056,0.293
暂无,暂无,207,Africa,非洲,Republic of Rwanda,卢旺达,93,114,0,985006,Republic of Rwanda,卢旺达,卢旺达,0,1588079376688,0.0,0.4493
暂无,暂无,29264,Europe,欧洲,Switzerland,瑞士,22200,5390,1674,963008,Switzerland,瑞士,瑞士,0,1588079071584,0.0572,0.7586
暂无,暂无,19648,Europe,欧洲,Ireland,爱尔兰,9233,9313,1102,961003,Ireland,爱尔兰,爱尔兰,0,1588079071584,0.0561,0.4699
暂无,暂无,29974,Asia,亚洲,India,印度,7027,22010,937,953003,India,印度,印度,0,1588079071584,0.0313,0.2344
暂无,暂无,19020,Europe,欧洲,Sweden,瑞典,1005,15728,2287,962005,Sweden,瑞典,瑞典,0,1588079071584,0.1202,0.0528
暂无,疑似1例,1037,Asia,亚洲,China,中国,811,222,4,810000,Hong Kong,香港,香港,47,1588078207395,0.0039,0.7821
暂无,暂无,84367,Asia,亚洲,China,中国,78710,1014,4643,951001,China,中国,中国,0,1588078207395,0.055,0.9329
暂无,暂无,8805,Europe,欧洲,Republic of Serbia,塞尔维亚,1314,7314,177,965013,Republic of Serbia,塞尔维亚,塞尔维亚,0,1588077596942,0.0201,0.1492
暂无,暂无,3517,Africa,非洲,Algeria,阿尔及利亚,1558,1527,432,981001,Algeria,阿尔及利亚,阿尔及利亚,0,1588077596942,0.1228,0.443
暂无,暂无,8851,Europe,欧洲,Denmark,丹麦,6121,2296,434,962001,Denmark,丹麦,丹麦,0,1588077596942,0.049,0.6916
暂无,暂无,1399,Europe,欧洲,North Macedonia,北马其顿,553,781,65,0,North Macedonia,北马其顿,北马其顿,0,1588077231495,0.0465,0.3953
暂无,暂无,627,North America,北美洲,Honduras,洪都拉斯,0,568,59,972005,Honduras,洪都拉斯,洪都拉斯,0,1588077231495,0.0941,0.0
暂无,暂无,275,Africa,非洲,Sudan,苏丹,21,232,22,981005,Sudan,苏丹,苏丹,0,1588077231495,0.08,0.0764
暂无,暂无,1389,North America,北美洲,Cuba,古巴,525,808,56,974004,Cuba,古巴,古巴,0,1588077231495,0.0403,0.378
暂无,暂无,1035,Africa,非洲,Djibouti,吉布提,477,556,2,985002,Djibouti,吉布提,吉布提,0,1588077231495,0.0019,0.4609
暂无,暂无,1337,Africa,非洲,Nigeria,尼日利亚,255,1042,40,982013,Nigeria,尼日利亚,尼日利亚,0,1588077231495,0.0299,0.1907
