cities,comment,confirmedCount,continentEnglishName,continentName,countryEnglishName,countryName,curedCount,currentConfirmedCount,deadCount,locationId,provinceEnglishName,provinceName,provinceShortName,suspectedCount,updateTime,deadRate,curedRate
暂无,暂无,795,Asia,亚洲,Cyprus,塞浦路斯,0,778,17,955005,Cyprus,塞浦路斯,塞浦路斯,0,1587693708760,0.0214,0.0
暂无,暂无,377,Africa,非洲,Democratic Republic of the Congo,刚果（金）,47,305,25,0,Democratic Republic of the Congo,刚果（金）,刚果（金）,0,1587693708760,0.0663,0.1247
暂无,暂无,6667,Oceania,大洋洲,Australia,澳大利亚,5095,1496,76,990001,Australia,澳大利亚,澳大利亚,0,1587693708760,0.0114,0.7642
暂无,暂无,94,Asia,亚洲,Maldives,马尔代夫,16,78,0,953004,Maldives,马尔代夫,马尔代夫,0,1587693708760,0.0,0.1702
暂无,暂无,46,Africa,非洲,Mozambique,莫桑比克,8,38,0,984008,Mozambique,莫桑比克,莫桑比克,0,1587693708760,0.0,0.1739
暂无,暂无,4284,Europe,欧洲,Finland,芬兰,10,4102,172,962002,Finland,芬兰,芬兰,0,1587693708760,0.0401,0.0023
暂无,暂无,616,Africa,非洲,Burkina Faso,布基纳法索,410,165,41,982002,Burkina Faso,布基纳法索,布基纳法索,0,1587693708760,0.0666,0.6656
暂无,暂无,12429,Asia,亚洲,Japan,日本,1069,11036,324,951002,Japan,日本,日本,0,1587693708760,0.0261,0.086
暂无,暂无,11178,Asia,亚洲,Singapore,新加坡,683,10483,12,952009,Singapore,新加坡,新加坡,0,1587693708760,0.0011,0.0611
暂无,暂无,479,Africa,非洲,Senegal,塞内加尔,257,216,6,982014,Senegal,塞内加尔,塞内加尔,0,1587693708760,0.0125,0.5365
暂无,暂无,326,Africa,非洲,暂无,马约特,0,322,4,0,暂无,马约特,马约特,0,1587693708760,0.0123,0.0
暂无,暂无,7906,Europe,欧洲,Republic of Serbia,塞尔维亚,1201,6547,158,965013,Republic of Serbia,塞尔维亚,塞尔维亚,0,1587693708760,0.02,0.1519
暂无,暂无,3891,Africa,非洲,Egypt,埃及,1004,2600,287,981002,Egypt,埃及,埃及,0,1587693708760,0.0738,0.258
暂无,暂无,42797,Europe,欧洲,Belgium,比利时,9800,26507,6490,961001,Belgium,比利时,比利时,0,1587693708760,0.1516,0.229
暂无,暂无,13930,Asia,亚洲,Saudi Arabia,沙特阿拉伯,1925,11884,121,955016,Saudi Arabia,沙特阿拉伯,沙特阿拉伯,0,1587693708760,0.0087,0.1382
暂无,暂无,1112,Oceania,大洋洲,New Zealand,新西兰,1065,31,16,990007,New Zealand,新西兰,新西兰,4,1587693708760,0.0144,0.9577
暂无,暂无,444,Europe,欧洲,Malta,马耳他,44,397,3,965019,Malta,马耳他,马耳他,0,1587693708760,0.0068,0.0991
暂无,暂无,316,Europe,欧洲,暂无,黑山,123,188,5,965018,暂无,黑山,黑山,0,1587693708760,0.0158,0.3892
暂无,暂无,28275,Europe,欧洲,Switzerland,瑞士,20600,6126,1549,963008,Switzerland,瑞士,瑞士,0,1587693708760,0.0548,0.7286
暂无,暂无,1716,Asia,亚洲,Oman,阿曼,307,1401,8,955013,Oman,阿曼,阿曼,0,1587693708760,0.0047,0.1789
暂无,暂无,1398,Europe,欧洲,Lithuania,立陶宛,399,960,39,964004,Lithuania,立陶宛,立陶宛,0,1587693708760,0.0279,0.2854
暂无,暂无,6981,Asia,亚洲,Philippines,菲律宾,722,5797,462,952008,Philippines,菲律宾,菲律宾,0,1587693708760,0.0662,0.1034
暂无,暂无,3435,South America,南美洲,Argentina,阿根廷,737,2533,165,973001,Argentina,阿根廷,阿根廷,0,1587693708760,0.048,0.2146
暂无,暂无,35,Asia,亚洲,Mongolia,蒙古,5,30,0,0,Mongolia,蒙古,蒙古,0,1587693708760,0.0,0.1429
暂无,暂无,13,North America,北美洲,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,0,13,0,974012,Saint Vincent and the Grenadines,圣文森特和格林纳丁斯,圣文森特和格林纳丁斯,0,1587693708760,0.0,0.0
暂无,暂无,918,Africa,非洲,Tunisia,突尼斯,190,690,38,981006,Tunisia,突尼斯,突尼斯,0,1587693708760,0.0414,0.207
暂无,暂无,98,North America,北美洲,暂无,百慕大,0,93,5,0,暂无,百慕大,百慕大,0,1587693708760,0.051,0.0
暂无,暂无,3665,Europe,欧洲,Luxembourg,卢森堡,241,3341,83,961004,Luxembourg,卢森堡,卢森堡,0,1587693708760,0.0226,0.0658
暂无,暂无,862,Africa,非洲,Guinea,几内亚,170,686,6,0,Guinea,几内亚,几内亚,0,1587693708760,0.007,0.1972
暂无,暂无,76,Africa,非洲,暂无,赞比亚共和国,37,36,3,0,暂无,赞比亚共和国,赞比亚共和国,0,1587693708760,0.0395,0.4868
暂无,暂无,7764,Asia,亚洲,Qatar,卡塔尔,750,7004,10,955015,Qatar,卡塔尔,卡塔尔,0,1587693708760,0.0013,0.0966
暂无,暂无,1548,Asia,亚洲,Azerbaijan,阿塞拜疆,948,580,20,955003,Azerbaijan,阿塞拜疆,阿塞拜疆,0,1587693708760,0.0129,0.6124
暂无,暂无,328,Africa,非洲,Somali,索马里,8,304,16,985008,Somali,索马里,索马里,0,1587693708760,0.0488,0.0244
暂无,暂无,663,Europe,欧洲,Albania,阿尔巴尼亚,327,309,27,965001,Albania,阿尔巴尼亚,阿尔巴尼亚,0,1587693708760,0.0407,0.4932
暂无,暂无,671,Africa,非洲,Niger,尼日尔,256,391,24,982011,Niger,尼日尔,尼日尔,0,1587693708760,0.0358,0.3815
暂无,暂无,5300,North America,北美洲,Dominican Republic,多米尼加,0,5040,260,974006,Dominican Republic,多米尼加,多米尼加,0,1587693708760,0.0491,0.0
暂无,暂无,10511,Europe,欧洲,Poland,波兰,1740,8317,454,963006,Poland,波兰,波兰,0,1587693708760,0.0432,0.1655
暂无,暂无,778,Europe,欧洲,Latvia,拉脱维亚,133,634,11,964003,Latvia,拉脱维亚,拉脱维亚,0,1587693708760,0.0141,0.171
暂无,暂无,64,Africa,非洲,Sierra Leone,塞拉利昂,10,53,1,982015,Sierra Leone,塞拉利昂,塞拉利昂,0,1587693708760,0.0156,0.1562
暂无,暂无,213024,Europe,欧洲,Spain,西班牙,89250,101617,22157,965015,Spain,西班牙,西班牙,0,1587693708760,0.104,0.419
暂无,暂无,237,North America,北美洲,El Salvador,萨尔瓦多,0,230,7,972003,El Salvador,萨尔瓦多,萨尔瓦多,0,1587693708760,0.0295,0.0
暂无,暂无,20914,South America,南美洲,Peru,秘鲁,7422,12920,572,973008,Peru,秘鲁,秘鲁,0,1587693708760,0.0274,0.3549
暂无,暂无,2778,Europe,欧洲,Moldova,摩尔多瓦,505,2197,76,964005,Moldova,摩尔多瓦,摩尔多瓦,0,1587693708760,0.0274,0.1818
暂无,暂无,631,Asia,亚洲,暂无,吉尔吉斯斯坦,201,422,8,954002,暂无,吉尔吉斯斯坦,吉尔吉斯斯坦,0,1587693708760,0.0127,0.3185
暂无,暂无,981,Africa,非洲,Nigeria,尼日利亚,197,753,31,982013,Nigeria,尼日利亚,尼日利亚,0,1587693708760,0.0316,0.2008
暂无,暂无,1189,North America,北美洲,Cuba,古巴,0,1149,40,974004,Cuba,古巴,古巴,0,1587693708760,0.0336,0.0
暂无,暂无,986,Africa,非洲,Djibouti,吉布提,252,732,2,985002,Djibouti,吉布提,吉布提,0,1587693708760,0.002,0.2556
暂无,暂无,38,North America,北美洲,Sint Maarten,圣马丁岛,0,36,2,0,Sint Maarten,圣马丁岛,圣马丁岛,0,1587693708760,0.0526,0.0
暂无,暂无,17,Africa,非洲,Central African Republic,中非共和国,10,7,0,983002,Central African Republic,中非共和国,中非共和国,0,1587693708760,0.0,0.5882
暂无,暂无,74,Africa,非洲,Uganda,乌干达,28,46,0,985010,Uganda,乌干达,乌干达,0,1587693708760,0.0,0.3784
暂无,暂无,1334,Africa,非洲,Cameroon,喀麦隆,668,623,43,983001,Cameroon,喀麦隆,喀麦隆,0,1587693708760,0.0322,0.5007
暂无,暂无,35729,Europe,欧洲,Netherlands,荷兰,291,31261,4177,961006,Netherlands,荷兰,荷兰,0,1587693708760,0.1169,0.0081
暂无,暂无,24,North America,北美洲,Antigua and Barbuda,安提瓜和巴布达,0,21,3,974001,Antigua and Barbuda,安提瓜和巴布达,安提瓜和巴布达,0,1587693708760,0.125,0.0
暂无,暂无,8756,Asia,亚洲,United Arab Emirates,阿联酋,1637,7063,56,955019,United Arab Emirates,阿联酋,阿联酋,0,1587693708760,0.0064,0.187
暂无,暂无,42110,North America,北美洲,Canada,加拿大,13986,25978,2146,971001,Canada,加拿大,加拿大,0,1587693708760,0.051,0.3321
暂无,暂无,70,South America,南美洲,Guyana,圭亚那,9,54,7,973007,Guyana,圭亚那,圭亚那,0,1587693708760,0.1,0.1286
暂无,暂无,437,Asia,亚洲,Jordan,约旦,318,112,7,955010,Jordan,约旦,约旦,0,1587693708760,0.016,0.7277
暂无,暂无,87026,Asia,亚洲,Iran,伊朗,64843,16702,5481,955007,Iran,伊朗,伊朗,0,1587693708760,0.063,0.7451
暂无,暂无,21700,Asia,亚洲,India,印度,4325,16689,686,953003,India,印度,印度,0,1587693708760,0.0316,0.1993
暂无,暂无,334,Asia,亚洲,SriLanka,斯里兰卡,105,222,7,953007,SriLanka,斯里兰卡,斯里兰卡,0,1587693708760,0.021,0.3144
暂无,暂无,241,Europe,欧洲,Guernsey,根西岛,0,231,10,0,Guernsey,根西岛,根西岛,0,1587693708760,0.0415,0.0
暂无,暂无,100,North America,北美洲,暂无,阿鲁巴,0,98,2,0,暂无,阿鲁巴,阿鲁巴,0,1587693708760,0.02,0.0
暂无,暂无,688,Asia,亚洲,Lebanon,黎巴嫩,140,526,22,955012,Lebanon,黎巴嫩,黎巴嫩,0,1587693708760,0.032,0.2035
暂无,暂无,17607,Europe,欧洲,Ireland,爱尔兰,9233,7580,794,961003,Ireland,爱尔兰,爱尔兰,0,1587693708760,0.0451,0.5244
暂无,暂无,3953,Africa,非洲,South Africa,南非,1473,2405,75,984011,South Africa,南非,南非,0,1587693708760,0.019,0.3726
暂无,暂无,1981,Europe,欧洲,Croatia,克罗地亚,883,1048,50,965005,Croatia,克罗地亚,克罗地亚,0,1587693708760,0.0252,0.4457
暂无,暂无,71,North America,北美洲,暂无,荷属圣马丁,0,60,11,0,暂无,荷属圣马丁,荷属圣马丁,0,1587693708760,0.1549,0.0
暂无,暂无,233,North America,北美洲,Jamaica,牙买加,0,227,6,974009,Jamaica,牙买加,牙买加,0,1587693708760,0.0258,0.0
暂无,暂无,420,Asia,亚洲,Georgia,格鲁吉亚,107,308,5,955006,Georgia,格鲁吉亚,格鲁吉亚,0,1587693708760,0.0119,0.2548
暂无,暂无,33,Africa,非洲,Malawi,马拉维,3,27,3,984006,Malawi,马拉维,马拉维,0,1587693708760,0.0909,0.0909
暂无,暂无,4821,North America,北美洲,Panama,巴拿马,4,4676,141,972007,Panama,巴拿马,巴拿马,0,1587693708760,0.0292,0.0008
暂无,暂无,1677,Asia,亚洲,Iraq,伊拉克,1171,423,83,955008,Iraq,伊拉克,伊拉克,0,1587693708760,0.0495,0.6983
暂无,暂无,7,Asia,亚洲,Kingdom of Bhutan,不丹,0,7,0,953002,Kingdom of Bhutan,不丹,不丹,0,1587693708760,0.0,0.0
暂无,暂无,10513,Asia,亚洲,Pakistan,巴基斯坦,2337,7952,224,953006,Pakistan,巴基斯坦,巴基斯坦,0,1587693708760,0.0213,0.2223
暂无,暂无,22353,Europe,欧洲,Portugal,葡萄牙,1201,20332,820,965010,Portugal,葡萄牙,葡萄牙,0,1587693708760,0.0367,0.0537
暂无,暂无,120804,Europe,欧洲,France,法国,42088,56860,21856,961002,France,法国,法国,0,1587693708760,0.1809,0.3484
暂无,暂无,7138,Europe,欧洲,Czech Republic,捷克,2152,4776,210,963002,Czech Republic,捷克,捷克,0,1587693708760,0.0294,0.3015
暂无,暂无,2284,Europe,欧洲,Hungary,匈牙利,390,1655,239,963004,Hungary,匈牙利,匈牙利,0,1587693708760,0.1046,0.1708
暂无,暂无,10096,Europe,欧洲,Romania,罗马尼亚,2478,7091,527,965011,Romania,罗马尼亚,罗马尼亚,0,1587693708760,0.0522,0.2454
暂无,暂无,1592,Europe,欧洲,Estonia,爱沙尼亚,192,1355,45,964002,Estonia,爱沙尼亚,爱沙尼亚,0,1587693708760,0.0283,0.1206
暂无,暂无,669,North America,北美洲,Costa Rica,哥斯达黎加,0,663,6,972002,Costa Rica,哥斯达黎加,哥斯达黎加,0,1587693708760,0.009,0.0
暂无,暂无,115,North America,北美洲,Trinidad and Tobago,特立尼达和多巴哥,0,107,8,974013,Trinidad and Tobago,特立尼达和多巴哥,特立尼达和多巴哥,0,1587693708760,0.0696,0.0
暂无,暂无,3772,Asia,亚洲,Bangladesh,孟加拉国,85,3567,120,953001,Bangladesh,孟加拉国,孟加拉国,0,1587693708760,0.0318,0.0225
暂无,暂无,16755,Europe,欧洲,Sweden,瑞典,550,14184,2021,962005,Sweden,瑞典,瑞典,0,1587693708760,0.1206,0.0328
